5120,5376,5632,5888,6144,6400,6656,6912,7168,7424,7680,7936,8192,8448,8704,8960,9216,9472,9728,9984,10240,10496,10752,11008,11264,11520,11776,12032,12288,12544,12800,13056,13312,13568,13824,14080,14336,14592,14848,15104,15360,15616,15872,16128,16384,16640,16896,17152,17408,17664,17920,18176,18432,18688,18944,19200,19456,19712,19968,20224,20480,20736,20992,21248,21504,21760,22016,22272,22528,22784,23040,23296,23552,23808,24064,24320,24576,24832,25088,25344,25600,25856,26112,26368,26624,26880,27136,27392,27648,27904,28160,28416,28672,28928,29184,29440,29696,29952,30208,30464,30720,30976,31232,31488,31744,32000,32256,32512,32768,33024,33280,33536,33792,34048,34304,34560,34816,35072,35328,35584,35840,36096,36352,36608,36864,37120,37376,37632,37888,38144,38400
4779,19284,20513,18057,23120,12582,23054,25200,26581,28183,29049,28803,30891,30071,10824,11306,32505,17116,18071,21150,33725,23480,34619,38123,40272,39142,42535,43261,45473,50712,49103,45895,48226,47107,45839,46681,49031,64690,50727,59629,50061,84978,52758,55737,55752,68091,21039,22670,20754,23024,31394,49634,24098,30516,28227,27506,33555,32983,32641,36342,35001,36120,36002,37821,37440,52648,76613,73010,126324,81631,76928,80370,81028,80962,80163,82127,83355,92463,86158,88306,84930,89591,89282,103133,95377,96553,94565,105176,94909,103841,97149,98196,95555,111446,140173,108628,107087,105852,114525,107790,105273,106323,110379,107828,110797,112465,107995,120330,113556,109913,114088,91794,45676,48493,47369,50515,50581,52673,56972,60290,57126,64326,64374,63936,62955,65015,70763,71752,67455,72948,71097
4519,4442,4904,5041,5615,6039,5162,5868,5867,6547,6492,6641,7081,6719,7925,7045,8007,8513,8382,8684,8525,8641,19510,9610,10922,9943,9846,10554,11160,11155,10634,10589,11121,12511,11869,12595,11932,25227,12855,14138,11218,12815,22737,13578,13632,15365,13923,17935,13772,17069,21138,31200,13723,15834,15715,14804,16312,21835,21256,18615,16824,18231,17319,22237,23365,25813,19072,23244,47870,22502,21934,27184,22610,23854,22615,21071,24839,24941,20431,25911,20797,28218,23663,22236,23406,20603,21707,27325,21443,23105,23316,27227,24834,28018,65130,27721,30172,33863,28065,34710,32328,30858,31636,32962,30097,38746,30744,35670,39254,31299,31925,57417,47675,36114,34471,35389,34448,35365,37898,37433,37289,39689,38563,38466,36963,36645,38387,39549,39337,42271,37562
4421,4797,4889,4962,5371,5893,5108,5674,5837,6873,6340,6173,7049,6606,7823,6920,7558,8062,8087,8185,8504,8339,17489,9578,10191,9568,9652,9835,10314,10981,10383,10180,11644,11960,11096,12392,11695,27323,12538,13558,11142,12355,13181,12368,12827,14457,13242,16807,13118,25010,21134,31184,13311,15123,15378,14790,15552,22128,18926,18641,16445,15782,16940,20371,20519,24377,18142,21290,37173,20721,21296,24895,20240,21450,21065,19310,20735,23596,19836,24320,21067,25902,22334,21685,21969,20683,21400,24167,21331,22722,22465,23728,23404,26454,67296,24509,28182,30793,27379,32415,31589,27434,30796,29350,27230,36197,28625,36437,38550,28543,28526,49788,41089,33757,34387,33290,32873,32613,36782,35628,36086,36993,37974,36466,39269,35229,36214,39481,36546,39404,36070
4136,4387,4552,4717,4862,5251,4935,5695,5722,6560,6120,5986,6501,6317,7479,6163,7097,7693,7402,7786,8076,7897,18883,8837,9950,8885,9334,9319,10288,10292,9790,9522,11075,11478,10646,11711,11013,24260,11945,13152,10340,11738,12733,12804,12759,12904,13754,15994,12447,14956,16179,16437,12992,14572,14414,14070,15027,19949,18009,18102,15910,15096,16440,18887,20195,23676,17273,20097,39322,19934,20390,24379,18859,21622,21666,18314,19091,20221,19989,23449,19993,24952,22082,21625,19993,20590,21008,24373,21334,22485,21844,23535,22410,25340,68301,24243,26824,28743,28270,31391,27733,26573,30674,28246,25273,33881,29116,35441,29644,27703,28021,58882,25582,32525,33634,32724,31852,32299,35110,34088,34889,35587,36230,35355,39156,33907,35246,38618,35098,37789,35788
15034,4344,4494,4744,4799,5111,4659,5413,5717,6462,6066,5636,6615,6182,7573,6419,7367,7696,7615,7953,8140,8018,18152,8845,9614,9202,9315,9508,9838,10482,10188,9673,11204,11020,10947,11896,11170,53442,11856,13350,10595,12110,13295,12518,12564,22046,13471,14865,12722,15889,15900,16183,13251,14709,14707,14232,15091,19124,17404,17963,16449,15607,17046,18683,18809,23354,17192,19096,44225,19670,20788,23304,18870,20320,21263,18459,19808,19319,20370,23050,20786,23988,21948,22425,20604,21239,21820,23741,21721,22773,21927,23235,22773,25309,64039,23529,26351,28303,27589,29300,27919,26463,29256,28102,25663,32471,28823,30908,26782,26624,26853,52179,25257,30316,31927,32189,30542,31575,35006,33446,32681,32826,33256,32925,37358,32640,34585,36693,33816,36477,34180
4186,4139,4646,4464,4761,5395,4830,5653,5450,6202,6037,5860,6530,6076,7156,5906,7063,7466,7279,7596,8183,7814,18894,8627,9677,9033,8772,9086,10124,9991,10233,9568,10864,11562,10223,12007,11314,34153,11977,13677,10302,12117,12540,12808,12901,12637,13416,14526,12808,14707,15638,13361,13247,14948,14969,14525,15249,17595,16906,17556,16171,15420,16582,18254,18283,24412,16748,18579,22807,18556,18825,21878,17939,19971,18955,18028,19758,20067,19943,21264,20715,22406,20199,21586,19830,21735,21247,22995,21631,22499,21161,21871,21714,24635,60546,23100,27130,27050,25238,28562,27063,25689,27598,26195,24521,30200,26472,29349,28002,27006,26445,50674,27895,31055,30956,31813,30567,31312,33583,33016,37946,31764,32582,32957,49025,31981,34237,35308,33441,35673,33709
4164,4431,4221,4604,4730,5161,4656,5516,5501,6275,5986,5909,6286,5801,7656,6312,7244,7773,7361,7510,8243,7820,18004,8623,10446,8986,9119,9252,9995,10365,9970,9313,11431,11884,10897,12342,11074,23799,11972,13113,11547,12538,12797,17919,12632,12076,13572,14491,12727,15712,15524,13443,13413,15216,15140,14785,15626,19684,15990,18912,16580,15478,16954,17792,17904,18489,17796,18906,22632,19252,19368,20792,18538,19534,19577,18248,19819,19903,20305,21758,21214,21796,20863,22503,20404,22852,21938,23222,22582,23645,21888,23106,21994,24500,59762,23058,28378,26732,26292,28671,27817,26073,27725,27372,24818,30423,26985,29337,26303,27152,26365,48587,26466,30223,31092,30494,28962,30200,33402,31865,30858,30544,32475,31358,38030,30744,33312,37033,31605,35518,32400
4240,3953,4331,4568,4928,5294,4755,5429,5437,6231,6096,5675,6485,6032,7469,6247,7121,7348,7473,7747,8010,7614,17119,8919,8908,8922,9039,9609,10319,11034,10147,10178,11527,11511,11160,12247,11573,22929,12213,13002,10933,12548,20351,13259,13062,11511,13890,13852,12975,15230,15303,14134,13736,14853,14410,14614,15003,18681,15792,19786,15977,15250,16555,17297,17373,20731,16583,17805,31170,18078,18350,20574,17737,18969,18612,18356,19132,20317,19876,20819,19725,20918,20413,21334,19162,21667,20923,23206,22252,23357,21078,22283,21007,24437,59977,22262,26347,23963,25550,26977,24914,24634,26554,24769,23964,30054,26100,27927,27932,25962,26425,33864,27936,29661,31216,30871,30035,30182,46629,32814,30396,30848,33536,31230,39140,30634,32732,35923,32308,33821,33183
4201,4048,4155,4536,4650,4924,4603,5401,5361,6168,5674,5561,6071,6002,7585,6150,7032,7621,7529,8003,8316,7982,18982,8989,9364,9440,9220,9467,10024,11196,9968,9795,11597,11472,10703,11940,11290,24175,12332,13267,11149,12584,11291,12054,12561,12432,13009,13408,12756,16540,15076,14275,13588,15410,15151,15126,14970,18765,15405,19136,16382,15960,16923,17499,17321,21381,17153,18125,19844,18405,18962,20076,18223,18869,30806,18908,19868,20343,20346,20769,20465,22142,19852,22371,19675,22028,22046,23805,23057,24246,22242,22360,22028,24381,56073,22298,26327,23954,34674,26853,25663,24978,28156,26078,25242,29661,26305,28516,27027,27531,27063,43929,27791,29796,30514,30339,28226,30569,42689,32167,28472,29932,32159,30386,26712,30489,33355,34580,31854,33738,32762
