2560,2816,3072,3328,3584,3840,4096,4352,4608,4864,5120,5376,5632,5888,6144,6400,6656,6912,7168,7424,7680,7936,8192,8448,8704,8960,9216,9472,9728,9984,10240,10496,10752,11008,11264,11520,11776,12032,12288,12544,12800,13056,13312,13568,13824,14080,14336,14592,14848,15104,15360,15616,15872,16128,16384,16640,16896,17152,17408,17664,17920,18176,18432,18688,18944,19200,19456,19712,19968,20224,20480,20736,20992,21248,21504,21760,22016,22272,22528,22784,23040,23296,23552,23808,24064,24320,24576,24832,25088,25344,25600,25856,26112,26368,26624,26880,27136,27392,27648,27904,28160,28416,28672,28928,29184,29440,29696,29952,30208,30464,30720,30976,31232,31488,31744,32000,32256,32512,32768,33024,33280,33536,33792,34048,34304,34560,34816,35072,35328,35584,35840,36096,36352,36608,36864,37120,37376,37632,37888,38144,38400,38656,38912,39168,39424,39680,39936,40192,40448,40704,40960,41216,41472,41728,41984,42240,42496,42752,43008,43264,43520,43776,44032,44288,44544,44800,45056,45312,45568,45824,46080,46336,46592,46848,47104,47360,47616,47872,48128,48384,48640,48896,49152,49408,49664,49920,50176,50432,50688,50944,51200
2387,1607,2122,1527,3514,2188,2580,4751,2784,5728,2923,6044,5744,6163,7183,5274,6971,7418,7509,7926,8486,8746,19565,9723,9469,10247,11820,11460,13078,13501,13938,15964,15363,15211,29237,31095,30598,17478,31511,16615,18592,18611,35683,37838,38482,37575,20461,14110,19175,46619,35145,35781,21140,36480,38404,38154,39804,39574,40424,39761,41175,41706,42902,10809,43299,11723,45225,44971,46381,10264,47753,47396,49678,49203,50179,51034,51597,52277,15038,54892,53087,54676,54882,54944,56344,56076,59687,78540,57385,59064,59257,61835,62019,62714,62369,63645,63492,65158,65246,65317,65139,67415,66205,68401,67299,69041,69113,73423,71031,71991,72260,71862,72634,72682,74598,73563,75718,77240,176241,83834,83121,22280,84251,87034,86427,87126,89578,90219,90925,24271,92281,89853,93717,25374,94318,96171,96627,94074,97322,98544,62035,100970,98879,64491,103646,102953,98093,64500,104185,105875,104878,107280,106429,106013,106555,106241,109781,109794,110232,109641,74800,111077,114037,111929,112700,113350,112858,115311,116032,119379,118751,29794,119323,119916,44912,120165,124946,124888,122500,125465,122915,125141,125283,129180,129021,129409,133518,130420,129896,129926,132743
2498,2223,2473,2867,3590,4091,4318,4493,4445,5011,5494,5372,5479,5816,6116,6450,6835,7410,7749,7876,8254,8532,9228,8589,9535,9724,11751,10259,11047,12543,13307,12442,13236,13320,13376,14884,13541,15317,16247,14923,16633,15609,16934,16493,16098,16917,18150,15167,18937,16815,19894,19548,19163,20483,17493,21468,21498,21957,22783,18588,22861,23626,23384,23233,23910,24981,22557,25428,21767,25593,22051,27231,21724,26796,28026,27913,28478,29138,22938,29712,25145,30322,28073,30449,30932,31952,32230,45325,33212,31137,32934,33498,34432,34708,31875,34905,34952,29032,35759,35103,36856,36679,36699,37102,37123,38643,38133,27812,38834,38690,32390,40256,40836,40606,39607,41651,28077,33955,63398,42407,35984,30536,40790,43645,42615,35916,44159,64526,50128,37630,47204,49705,67940,39456,47861,52578,46261,47010,55680,47641,48785,50188,52331,52368,70931,68468,53586,51183,61567,63920,48656,58301,73261,61766,82877,66374,85389,63515,69429,58179,62047,54295,59771,85608,62583,60669,65088,69323,79012,75827,65621,44587,65980,87448,54558,82416,80035,84262,73432,80976,73136,65860,90710,69796,73326,103718,99337,79679,73042,76136,85729
2439,2072,2775,3330,3721,3716,4528,4521,4728,4922,5433,5702,5849,5996,5516,6207,7034,7441,8156,8105,7547,8528,9319,9057,9281,9276,11286,11611,12468,13114,11227,12091,12108,13392,10528,12931,12907,14420,13953,13314,14100,15541,13892,15319,15143,15303,15916,17137,18875,17428,20055,20443,21089,21172,17028,21668,21842,19704,22196,19405,23052,23042,23962,23019,23909,25476,24758,25324,22286,26602,22699,26206,21870,27693,27638,27920,28666,29309,23132,30517,24344,30684,30051,30844,31595,32268,32598,40984,33622,31508,34001,33687,34495,35415,32840,35342,36054,29684,36770,36855,37663,37588,37412,37688,37310,39860,39322,28598,39231,40133,33431,40924,41361,41527,41121,41846,30302,35526,41697,33867,31445,32088,31355,36839,35085,34457,35356,51322,40332,35924,39114,40130,41528,36835,37549,42414,34777,39408,40721,38953,41334,40328,41102,43179,50565,45701,44372,44796,42767,46723,42699,48103,53002,49048,56256,50581,60425,48428,51296,48346,52235,48200,48287,63140,50338,50321,51659,51346,56202,56121,50038,42830,48101,58553,47686,56940,52601,60265,53552,61188,56769,53837,60482,51310,54365,70106,69219,56906,56677,57481,63834
2073,2975,2867,3380,3759,4135,4112,4468,4834,5026,5449,5338,5769,6141,6855,6292,6982,7698,7551,7712,8549,9255,9148,9173,9247,9166,11568,10834,12145,10626,11047,12094,11239,11340,11643,12431,12346,13254,12069,13821,14806,13142,13846,13904,14956,13545,16427,13334,19293,18120,19659,20103,21178,21573,17462,21712,22081,21679,22518,18971,23213,23816,23508,23475,25140,25677,23983,22408,22336,26670,21935,27755,21681,28041,28572,27798,29283,30600,22584,30423,24994,31276,31354,31605,31743,33200,32214,53353,33585,32013,33321,33530,35329,35205,33395,35423,35946,29882,36542,35972,38669,38335,37338,38227,37445,39843,39181,29231,39205,39501,35323,40786,41283,41708,41297,41590,32069,35606,34285,30827,31277,32448,31330,33616,32861,32437,32698,33827,37131,34235,37045,37115,36738,36173,35481,38584,33534,38767,38165,36964,38634,36798,37466,42114,43423,42924,41156,40804,39903,42206,39707,43727,47861,44057,48518,46220,49830,43470,46887,44908,47858,46039,44576,52216,46616,45973,50165,48552,50164,47376,44092,43137,43425,48828,45108,49509,48899,51628,49080,52384,52124,48560,52210,48114,50311,55702,58445,50665,50960,52231,55033
1695,2808,3233,3209,3528,3749,4204,4521,4617,4867,5280,5815,5901,6267,6660,6700,7149,7457,7618,7796,8323,8613,8570,8619,8968,9870,12044,10512,10252,10936,10999,11140,11250,11519,11556,11281,12657,12825,12203,14340,12837,14123,13362,14745,12117,14749,13514,12758,19489,18829,20621,21608,20077,21075,17219,22021,22233,22411,22769,19192,23998,23736,24155,23682,24563,25507,24354,23139,22940,26437,22457,27156,21920,27699,28662,27920,29028,30042,23179,30435,25885,31607,30429,31535,31796,32319,32967,45380,33818,32268,33570,33742,34801,35299,33600,35456,36801,29981,36531,36181,37634,38439,37880,37278,37496,39524,38761,28524,39019,39547,35653,40695,42105,42093,40996,42311,32109,35703,32540,29485,30095,31180,29726,34712,33179,32895,32237,33213,34903,34510,36194,35637,36448,33691,33688,37621,33094,37183,36972,36118,37451,36165,35176,39458,41468,40348,39497,40432,39608,40671,39191,47414,44447,43939,44799,43270,46195,41576,43773,42410,46250,43127,43281,47727,46089,44956,44549,46341,47718,46460,42576,42031,42340,45915,43529,47135,46951,49088,47254,49464,49527,48430,47539,45603,47706,52420,53834,47394,47822,49398,53061
2455,2819,3044,2971,3086,3354,4053,4388,4730,5298,5561,5973,5815,6323,6942,6435,6923,7486,7636,8019,8672,8519,9150,9692,9880,9870,11899,11084,9799,9836,10602,10645,11412,11631,12256,10981,12049,12644,12999,12428,13058,13911,13857,13419,13709,12761,13165,14657,19302,18090,19078,20083,20696,21166,16699,22106,21916,22107,22639,19224,23858,24267,24195,23709,25063,25174,23280,23593,21904,26883,21623,27047,21524,27941,28356,28674,28488,29702,22566,30656,25521,31175,30647,30708,32669,32512,32618,35591,32801,32240,33463,34043,34657,34415,33376,34614,35678,29896,36018,34820,37148,37653,38031,37438,37585,39075,37306,29062,45286,39683,34800,39600,41892,41491,42625,41449,32594,35823,31739,29917,30521,31374,29877,33651,32247,32608,32181,32838,34606,33644,35299,34633,41467,33722,33167,35860,31986,37276,36318,34613,36222,35174,34905,40253,49471,38891,39381,39171,39542,40167,38415,40121,44024,42394,43743,42687,44787,40357,43433,42176,45452,42590,44097,46249,44220,44679,45439,44823,47145,45454,40411,42473,41375,44394,44141,45662,45839,47711,47250,48932,49149,46494,46926,45454,46755,50409,51895,46320,47995,48373,51539
2434,2455,2979,3074,3184,3474,3792,4513,4495,4869,5786,5425,5902,5984,5557,6509,6976,7537,8165,8176,8379,8707,9517,9074,9611,10249,12022,10937,9417,9906,9463,10572,11341,11378,11384,12859,10512,11288,11017,12380,13978,16442,13622,12061,13298,13125,13353,15688,19369,19773,20224,20200,21267,21307,16655,21536,21933,21645,22162,19403,23560,23796,24474,22886,25083,25106,23430,23503,22612,26278,21699,26939,21852,27095,28663,27920,28373,29793,22825,29722,26358,31165,30494,30954,31421,31458,32651,35718,32946,32874,32350,33496,34832,35005,33285,34862,35467,29600,35781,34589,36756,37308,37501,37268,37281,39515,37481,29193,37868,38546,35623,40498,40197,40555,50562,40955,33397,35400,30542,29638,30584,29740,29535,32532,31505,31372,31511,44720,34133,34002,34379,33862,37931,34467,33327,36685,31335,37033,36769,35309,36336,35090,34516,38524,38723,41674,37997,39649,39086,40541,37798,40805,42569,41105,43503,41469,43702,39520,42527,42353,44606,42515,42598,45377,43740,44545,44540,45140,45666,43893,41057,41090,41351,44722,43790,44901,45800,47213,45496,48241,48112,45958,45497,45554,46247,49863,50855,46240,46436,48967,51071
2290,2540,2532,2692,3020,3239,4407,4378,4768,5014,5721,5588,5838,6015,6946,6008,6753,8155,7945,8439,8012,9118,9367,9941,10077,9473,11458,10966,9564,9333,9379,10952,11696,11688,10900,10766,11255,11390,11307,14555,13822,13378,12407,12116,12893,13701,14416,12567,19439,18418,20663,20424,20623,21651,17037,21450,21990,22420,22322,19599,23192,23830,23703,23704,24336,25594,22666,22345,21953,26002,21466,27044,20555,26933,27689,27594,28693,29026,22831,29472,25841,30682,30143,30992,31105,39138,32381,34355,32984,32392,32266,32418,34678,34346,33301,34827,34424,28975,35974,34077,36407,37481,37402,36025,37472,38887,38523,28428,38595,38173,35019,37975,40236,39992,52186,40311,32510,35500,31096,29213,30317,30042,28736,32626,32409,31800,31020,35470,34569,33079,33898,33373,32593,33671,33020,35797,31755,35922,35442,34801,35578,35045,34499,38973,40154,38529,39071,39416,38770,38679,37973,40711,41943,41575,42894,41627,42659,39965,42762,44589,43731,42651,42518,44454,42669,43812,43330,44188,44393,43769,39838,42173,41386,43563,41875,44338,45581,46716,46185,46990,47053,47200,51863,44330,46393,49001,48319,45583,46072,47862,50475
2145,2106,2529,3161,3569,3746,4304,4230,4778,4932,5170,5328,5612,6109,7301,6324,7293,7504,8100,7880,8246,9048,9497,9887,9741,9719,11963,11086,8165,9186,10681,11168,10438,9957,10389,11060,10436,12448,12657,12184,11619,11701,11764,11683,12806,13617,12686,12342,18799,18290,20276,18495,19866,21242,16873,21151,22087,21433,22282,19077,23511,23954,27308,23697,25329,25391,23383,21876,21671,26201,20356,26593,21414,27365,27572,26904,28430,29051,22812,29569,25331,30286,30424,29945,31313,30382,31510,35489,32188,31329,32512,31964,33828,33320,32942,34526,34546,28296,34365,33770,35577,37455,36441,35381,54592,37423,37535,28474,38362,38374,34650,38486,40251,39398,54966,39388,32639,34938,30928,29425,29751,30285,29820,32978,32361,32121,31279,53562,32349,33086,34429,34536,34022,34954,32635,35224,32442,35875,35433,35159,35665,34342,35185,38231,39490,38959,37493,38130,38086,39062,37817,40893,41317,40491,52039,40586,42198,39265,41770,41792,43742,42719,42807,42510,42464,43495,42517,43691,43875,43738,39679,42394,42010,42755,42600,46142,45378,46054,45300,47525,47012,44750,44448,44495,44876,47108,48341,45769,46881,46978,49607
