256,512,768,1024,1280,1536,1792,2048,2304,2560,2816,3072,3328,3584,3840,4096,4352,4608,4864,5120,5376,5632,5888,6144,6400,6656,6912,7168,7424,7680,7936,8192,8448,8704,8960,9216,9472,9728,9984,10240,10496,10752,11008,11264,11520,11776,12032,12288,12544,12800,13056,13312,13568,13824,14080,14336,14592,14848,15104,15360,15616,15872,16128,16384,16640,16896,17152,17408,17664,17920,18176,18432,18688,18944,19200,19456,19712,19968,20224,20480,20736,20992,21248,21504,21760,22016,22272,22528,22784,23040,23296,23552,23808,24064,24320,24576,24832,25088,25344,25600
2288,8783,36864,10565,15077,13052,19917,20491,54486,20666,34517,59389,35423,62223,63647,67725,97970,87721,104671,75660,97547,193908,106046,86606,104185,101955,100916,92098,146540,101106,149074,96375,132357,167696,149348,160260,219664,168987,143734,152745,214781,147703,211246,151982,151641,194446,264823,124029,167010,214564,199392,157881,257903,164436,166972,214208,249051,235445,222237,163384,356569,270371,183021,197148,202404,200024,337768,231627,439449,227431,258877,238592,335156,295612,244083,265865,284920,223052,337889,243669,236571,389072,317332,239503,297567,365712,360398,281437,374052,1099595,273812,328041,339416,389900,322876,280240,364329,248051,304605,267593
1577,2597,5620,5229,8018,8144,9882,11178,12724,14281,22535,15693,23827,18027,19643,20167,36719,30386,36615,29773,31731,27953,48239,29955,31104,33395,33973,33561,63303,36750,70190,37908,41946,74529,42454,55984,89750,70472,49486,59259,104888,51839,110054,55171,54349,90399,128411,60081,59655,61449,92754,66087,151313,71826,68151,69967,108562,124510,164969,93004,191117,139549,77145,79490,102043,83839,239310,124172,135580,83617,204602,107067,215657,180932,89938,141768,99934,99771,247142,97411,102721,234552,244408,125146,179896,223531,194622,112583,253043,109890,118842,184038,216773,251421,181722,124418,264569,119739,133875,122021
1522,2496,4982,5111,7901,8009,9744,10894,11635,14135,22191,14819,23468,17030,18564,19582,36068,29603,34940,29462,31071,26827,46545,29290,30410,32187,32884,33159,62408,36200,68507,38139,40720,73241,41604,55337,87201,69071,48722,59689,103274,50735,108190,53485,53875,88408,128315,58601,59315,59348,91277,65832,149978,64861,66726,67724,106399,122863,165178,90436,187559,138853,75515,79662,100491,81919,238585,122205,134738,82995,191872,106241,215066,179083,88709,139960,97728,98364,252482,104220,102740,233015,244645,123054,178637,221954,187291,110645,334588,105517,116757,183968,206020,250367,180748,116055,261933,118591,126973,133841
1525,2555,4989,5148,7974,7931,9736,10864,11787,14049,22250,14734,23517,17139,18440,19427,35699,29209,34733,29254,31021,26923,46626,29256,30207,32633,32859,33857,61938,36136,68208,38565,41048,73138,41655,54755,86555,68530,47706,58969,102891,49776,107605,56051,53603,88500,128163,58114,58247,58804,91177,65252,150047,64480,66326,67508,105621,122995,164893,89817,187639,138320,75834,79236,100426,81898,238637,122163,135049,82947,190995,105892,231860,178850,88150,140250,97892,98527,247487,97624,101893,231267,244475,123178,177918,221630,186192,110557,252974,105270,116723,183341,205269,250824,179919,115901,261887,118056,127054,121971
1522,2455,4969,5176,7915,7961,9705,10791,11772,13981,22188,14765,23549,17076,18411,19494,35633,29341,34745,29128,30810,26941,46518,28582,30477,32144,32637,33527,62119,35723,68256,38030,40697,72832,40994,55613,87189,68655,48375,58670,103381,50036,107978,70385,52984,87924,128762,58283,58489,59298,91579,64834,149141,64368,73757,67747,105327,122617,164104,89982,187515,139208,75951,81066,100581,81708,238911,122066,151412,82806,190548,106116,214729,179393,88409,139891,97807,98319,246216,97246,143946,231337,244093,123182,177619,222502,185891,110799,251409,105026,116931,183464,205294,250525,179785,115855,261801,117473,126814,122341
1521,2505,4901,7228,7866,8075,9724,10929,11967,14020,22167,14444,23556,16825,18326,19415,35616,29091,34632,29109,30958,26944,46624,28822,30383,32157,32715,32620,62108,36644,68222,37283,40514,73262,41120,54433,86513,72296,48306,59037,104004,49952,107780,53508,53747,88557,128365,58154,58779,58668,90888,64277,149649,64794,68506,67612,105261,130624,164857,96695,187781,137945,75848,77838,100110,82399,238892,122106,135261,83251,191841,105551,215356,178515,88237,139892,97686,97605,244557,97638,103335,231191,245332,123311,224050,222942,185849,110776,248712,105122,117189,183545,205012,250388,180138,115703,308133,124790,134695,122175
1527,2533,4986,5114,7860,7948,9621,10935,11732,13949,22249,14609,23446,16711,18464,19490,35784,28874,34811,29268,30623,26599,46418,28775,29759,31827,32890,32951,61833,42944,68322,37965,40547,72925,41765,54305,86407,78003,48099,58466,103279,49720,108363,53868,53550,88250,128310,58790,58136,59283,90920,64998,148882,64589,66860,67385,105015,143583,164650,89624,187457,138287,76144,117114,99560,82348,239372,122016,135141,82813,191603,105888,214999,178816,94789,139590,97666,97973,244900,97929,103238,245977,260057,123061,178155,221833,186087,110675,249990,105244,117222,182989,204363,250056,180242,116507,262581,118967,128108,122364
1521,2470,4956,5152,7895,7983,9720,10810,11815,14099,22223,14662,23502,16922,18382,19685,35792,29305,40594,29293,30667,26803,46677,28770,30128,32328,32648,32646,62296,36571,68494,44702,40592,73292,41498,54822,87160,68779,47909,58693,103404,50168,108066,54184,53366,88267,128153,58088,58933,59043,90943,64809,149209,65038,66179,67674,105068,123089,163719,89537,187033,139115,75288,78481,100075,82231,238977,121968,134715,83105,190686,105880,214800,178289,88563,139859,97757,98230,241482,97513,111226,230854,245657,123237,177890,222134,186303,110617,251742,105377,116567,184235,205073,250541,180832,121788,261883,118276,127670,122730
1511,2473,5061,9821,7894,7921,9806,10817,11865,14109,22097,14690,23497,17334,18616,19641,35623,29018,35593,29293,30347,26788,46448,28955,32296,31924,32628,32844,62427,36016,68312,38825,40238,73305,41254,56196,86736,68261,48020,58742,103306,50122,107544,54300,53445,88435,128550,58635,58248,59135,90627,64768,149232,63891,66732,67153,105530,122722,165381,90216,187270,137515,76146,78698,100003,82070,260397,122054,135010,83062,190530,105880,214963,179184,88442,146497,97970,98388,239331,97325,103467,231107,243851,123143,177528,228865,186254,111366,252184,105223,117102,182974,205011,250213,179936,115941,263604,117845,132955,122271
