2560,2816,3072,3328,3584,3840,4096,4352,4608,4864,5120,5376,5632,5888,6144,6400,6656,6912,7168,7424,7680,7936,8192,8448,8704,8960,9216,9472,9728,9984,10240,10496,10752,11008,11264,11520,11776,12032,12288,12544,12800
36785,20570,18308,23724,43011,45518,23295,63703,27054,73197,53173,76289,78025,73326,68477,74766,85474,83275,75208,101763,72570,110080,82609,97466,91471,82783,97185,121213,102172,93873,93093,116489,100758,123046,110951,96345,118086,166669,79150,101796,113381
12785,14093,13698,18081,17339,18750,18989,23495,21509,26604,23786,24389,25655,35437,28506,28540,30081,30407,32155,42175,33575,47685,37374,37495,45410,38014,41692,56586,50421,43310,42790,65347,44835,68716,48414,57177,62730,80860,51527,52073,53403
12177,13797,13608,17952,16537,17796,18642,22456,21315,25963,22647,23663,25192,32513,27334,28180,32779,29911,31105,41193,32330,45935,35735,36252,44873,37360,40589,55678,49230,41815,42383,68962,45138,68320,47520,47443,61824,80326,51313,51887,53606
12068,13886,13624,17901,16497,49376,18630,22708,21346,26249,22498,23864,25442,32821,27617,27884,179756,29333,31366,41378,32686,46232,35632,36852,44751,37738,40813,55798,49710,41205,42790,64559,44536,78621,47349,47765,61853,79450,50990,51542,53017
12166,13793,13593,17935,16326,17416,18562,22702,21306,28447,22585,23572,25508,32812,27757,28276,29228,29243,31041,41212,32493,46077,35787,36085,44818,37853,40875,56070,49044,42283,42535,64595,44537,68225,47463,47632,61628,79562,50842,52545,53130
12024,13875,13660,17943,16275,17624,18527,22433,21267,25741,22549,23566,25645,32577,27170,28296,28835,29555,30493,41301,32219,46018,35843,36236,44632,37353,40592,55840,49134,42041,42852,64542,44910,68186,47573,47216,61650,79837,51960,51370,52929
12053,13857,13711,17910,16452,17515,18662,22632,21280,25868,22639,23566,25356,32461,27795,28275,29121,29224,30697,41097,32361,45512,35390,36521,44833,37528,40875,55827,49347,41728,42651,64359,44449,68036,47175,47248,66299,80134,52293,51537,53145
11947,13808,13659,17890,16414,17608,18645,22441,21280,26046,22490,23534,25284,31918,27002,28444,29434,29689,31007,41160,31937,45730,35652,36209,51879,37884,41678,55658,49153,41774,42035,64675,44315,67799,47732,47707,61749,80124,51078,52233,52560
11973,13859,13620,17886,16181,17591,18597,22760,21292,26083,22753,23756,25519,32372,27275,28096,29211,29575,31202,40992,32126,45973,35877,35965,45111,38237,40491,55730,49286,41588,42389,64734,44145,68077,47643,47211,62186,80140,51127,52135,52791
12010,13821,13695,17930,16339,17587,18743,22345,21260,25802,22864,23698,25277,32105,27273,28119,29185,29167,31248,41094,32088,45934,35320,36111,44789,37532,40114,55867,49467,42273,42453,64380,44824,67991,47575,47116,62177,80057,50594,52021,52393
11940,13855,13671,18007,16364,17371,18635,22533,21334,25911,22397,23613,24811,41466,27062,28112,28750,28898,31167,41129,32089,46029,35863,36804,44985,37579,40719,55668,49402,41825,46604,64323,44285,67672,47136,47296,61383,79835,51076,52182,52357
12175,13859,13685,17991,16552,17593,18695,22442,21274,26138,22408,23749,24942,33032,27451,28324,28946,29518,30752,41084,32448,46053,36024,36238,45123,37642,40152,55578,49266,41855,42865,64577,44523,67949,47127,47167,62040,79562,51642,51788,63579
12090,13840,13681,17925,16335,17696,18588,22335,21353,25954,22562,23571,25146,32536,27654,27964,28628,29374,31189,40964,32050,45791,35767,36311,44813,37459,40206,55473,49070,41639,43178,64902,44478,67619,47643,47144,61874,79766,51046,51818,51992
11780,13859,13640,17952,16149,17736,18735,22593,21220,25675,1060657,23636,25161,32482,27219,28068,28834,29108,31086,40989,32167,45810,35578,35879,44737,37183,40892,56073,49383,41606,42269,64528,44704,67985,47565,46938,61886,80015,50927,51508,52791
12080,13841,13636,18028,16416,17686,18562,22293,21277,25906,25901,23560,24748,32288,26986,28277,28617,29091,31002,41607,31920,45852,35790,36865,45137,37607,40069,55433,49435,41657,43307,64401,44417,68102,46939,47840,61956,79754,51836,52140,52969
12060,13834,13671,17993,16330,17457,18585,22331,21285,26017,22708,23721,24986,32226,27548,28613,28873,29521,31418,41241,42907,45703,35422,36697,45192,37816,40776,55604,49295,42125,42459,64691,44384,68034,47647,47589,61903,79735,51325,51706,52705
12021,13817,13646,17931,16285,17508,18634,22442,21341,25778,22162,23713,25174,32324,27235,27932,28581,29334,31208,41109,32577,45601,35329,36284,44955,37544,40426,55855,72049,41627,42413,64763,44265,68169,47860,47261,62065,80294,51147,51163,52881
12045,13835,13685,17954,16296,17461,18640,22477,21331,25716,22237,24093,25242,32062,27192,28167,28513,29312,30595,41228,31922,45359,35659,36759,45110,37766,40274,55751,49578,41832,42233,64371,44443,68084,47386,46879,61903,80282,51115,51438,52945
12073,13928,13643,17976,16161,17773,18597,22608,21287,26026,22776,23701,24890,32638,27388,28129,234586,29370,35145,41195,32447,45843,35357,36688,44833,37374,40556,55408,49122,41622,42768,64557,44523,67825,47446,47368,61746,79602,51018,52169,53346
12119,13857,13687,17934,16169,17651,18516,22501,21274,26013,22607,23546,24587,32484,27197,27986,30331,29373,30496,41019,32318,45493,35871,37000,45272,43043,40704,55548,49233,41864,42193,64308,44358,67936,47502,47499,62160,79921,51312,57510,53166
11816,13882,13667,17971,16384,17542,18663,22406,21350,25826,22511,23725,24959,32142,27397,28042,28906,29328,31021,41103,32577,45769,35573,36313,44776,37507,40818,55663,49161,41662,42263,64430,44620,68204,47517,47239,61800,80246,50827,51178,52746
