2560,2816,3072,3328,3584,3840,4096,4352,4608,4864,5120,5376,5632,5888,6144,6400,6656,6912,7168,7424,7680,7936,8192,8448,8704,8960,9216,9472,9728,9984,10240,10496,10752,11008,11264,11520,11776,12032,12288,12544,12800
1465,1796,19455,21020,11536,9802,24880,2278,3024,13656,14132,13647,16983,17624,18803,19245,21011,21142,22229,24169,22443,24433,24264,25986,24961,26227,26098,5515,25980,7128,30691,30333,29373,31401,33730,31154,34310,33421,34468,34037,38566
2087,2586,2071,2850,3410,3768,2521,4396,3832,5374,5210,5434,5221,6250,5331,5796,6139,6794,6614,6751,7626,7427,8686,8493,9683,10444,10638,11476,10067,12072,12487,12911,12461,13420,12022,13884,14160,15393,15405,15853,16264
2075,2349,1737,3106,3290,3570,2428,4731,4439,4953,4890,5296,4644,5104,5683,5856,6173,6343,6847,7476,7507,7525,7825,7951,9885,10001,10350,11213,9860,12183,12727,12939,12832,13591,12007,14178,14580,14948,15741,16047,16617
2269,2482,1727,3055,2988,3395,2282,4146,4634,4822,5315,4738,4924,5445,5865,6104,6686,6310,7224,7268,7477,7309,8189,8323,9487,9922,10048,10445,9848,12388,11817,12153,12945,13242,11771,13713,14320,14468,15543,16005,16027
2440,2186,1935,2786,3072,3661,2334,4149,4170,10918,5005,5110,5122,5631,5222,5278,5955,6070,6604,6903,7008,7520,7506,8081,9370,9671,10037,15559,10156,11391,12179,12204,12133,13343,11952,14051,14440,14514,15311,15510,16290
2319,2496,1909,2824,2973,3690,2780,4485,4490,4860,4114,4669,4712,4979,5428,5844,5754,5863,6471,6505,7141,7329,7664,7668,9551,9849,10138,11270,9996,11482,12354,12040,12504,13022,11683,13858,14615,14747,15467,15638,16354
2262,1975,1601,2711,3250,3289,1908,4355,4685,5047,4693,4562,4726,5109,5401,5779,5773,6308,6653,6793,7170,7304,7376,7463,9296,9933,10215,10808,9688,11826,12193,12256,12503,13398,11981,13661,13933,14415,15207,15791,16113
1864,2329,2069,3061,2771,3803,2630,4191,3961,5061,5092,4768,4700,5104,5675,5708,5855,5619,6515,6790,6805,7150,7206,7765,9330,9803,9876,11309,9881,12038,12404,12871,12748,13579,12098,14206,14388,14660,15809,15917,16525
2281,2200,1370,2560,3491,3402,1934,4085,3789,4660,4663,5254,4992,5250,5157,5351,5723,5652,6589,6781,6935,7237,7441,7620,9605,10027,10059,10398,9997,12285,12124,12086,13336,13131,11605,13497,14291,14865,15824,15819,16343
1974,2275,1878,3034,2985,3449,2198,4308,4066,4481,4608,4321,4873,4875,5246,5468,5971,5469,6360,6913,6370,7546,6851,7232,9291,9554,10134,10508,9394,11639,11895,11988,12856,13038,11834,13827,13868,14601,15323,15713,16451
2196,2315,1487,2507,3060,3400,1891,4229,4523,4799,5144,4421,4894,5299,5564,5466,5717,5698,5953,6112,6550,7067,6991,7303,9172,9811,9840,11120,9362,11545,12195,12546,12613,13675,12237,13905,13953,14217,15431,15861,16591
2373,2151,2235,2704,3045,3591,2676,3741,2902,5182,4793,4553,4745,5459,5243,5163,5841,5674,6307,6431,6801,6845,7566,6795,9444,9825,9796,10660,9142,12048,11913,12513,12901,13163,12024,13849,14020,14236,15127,15425,16200
2116,1976,1586,2572,3058,3429,2412,4192,3846,4619,4402,4294,4421,4872,4784,5302,5601,5797,6139,6659,6206,7058,6704,7054,9336,9507,10696,10571,9851,11381,12281,12461,12454,13414,12021,14065,14353,14797,15693,16041,16382
2170,1881,2074,3078,3091,3837,2775,4454,3731,4561,4834,4146,4294,4605,4959,5036,5678,4990,5987,6204,6136,6532,6947,7126,9280,9660,9856,11264,9486,11769,12676,12975,12854,13831,11863,14541,14295,14393,15626,16210,16373
2065,1744,1780,3184,3309,3425,2178,3888,3432,4488,5096,4090,4351,4662,4966,5366,5304,5678,5733,5968,6746,6413,7105,6825,9536,10267,10286,10578,9699,12697,12006,12411,13208,13229,12047,13823,14179,14373,15397,15599,16224
2185,1764,1931,3067,3270,3738,2182,4007,4085,4757,4821,4520,4805,4893,5235,5335,5866,5708,6075,6424,6666,7181,7135,7236,9285,9541,10483,10638,8789,11804,11841,12608,12756,13086,11574,13497,13685,13884,15068,15463,15804
2236,1812,1775,2815,3054,3125,1911,3781,3411,4883,4898,4798,4637,5016,4998,5412,5454,5625,6107,6545,6831,7089,7233,7058,9452,10007,10234,10983,9743,12025,12129,12450,12595,13527,12204,14090,14122,13941,15523,15560,15912
2282,2085,1683,2852,2837,3312,2111,4265,4327,4872,4717,4341,4500,4810,5186,5359,5610,5745,6145,6248,6611,7015,7393,7184,9392,9920,10054,11101,9563,12065,12505,12932,13388,13612,12071,14219,14600,13818,15546,15774,16104
2153,1837,1441,2491,3103,3661,2024,3976,4635,5077,4590,4480,4432,4834,5221,5546,5987,5620,6225,6572,6808,7040,7360,7049,9726,10144,10121,11075,9210,12074,12000,12271,13076,13474,11718,14119,14332,13641,15269,15451,15955
2187,2051,2085,2610,3355,3501,2430,4242,3784,5299,4593,4768,4608,4895,5009,5014,6050,5334,6328,6582,6285,6931,6666,7138,8917,9633,10719,10766,8868,11771,12271,12850,12995,13404,11734,13806,14037,13655,15541,15378,15865
1779,1869,1634,2853,3134,3160,1710,4446,3392,4936,4739,4649,4526,4967,4935,5000,5835,5653,5968,6114,6553,6486,7088,6873,9166,9635,10171,11625,9237,11952,12648,13040,13118,13893,11996,14460,14713,13589,15406,15659,16294
2357,1824,1588,2825,3097,3478,1919,4282,4169,4821,4679,4551,4683,4889,5067,5637,5847,5729,6233,6097,6905,6687,7250,6864,9868,10233,10603,10762,9213,12658,11982,12367,13433,13510,11896,13889,13931,13408,14851,15431,15950
2148,1816,1635,2794,3020,3198,1898,4169,3470,4875,4977,4529,4611,4927,5304,5564,5648,5583,6120,6402,6838,6928,7100,6845,9020,9510,10056,11251,9325,11785,12007,12659,12713,13624,12683,13906,14282,13155,15120,15249,15838
2138,1693,1550,2728,3099,3389,1999,4488,3315,4762,4768,4623,4593,4914,5043,5068,5962,5247,6110,6345,6745,6875,7233,7064,9933,10074,10510,10453,9003,12003,11712,12441,13278,12882,12088,13300,13947,12503,14890,15070,15238
2365,2163,1427,2905,3190,3453,1913,4173,3491,4717,4568,4549,4499,5091,4701,4915,5702,5019,6032,6274,6087,6798,6475,6734,9183,9921,9788,11546,9191,11928,12365,12541,12273,13315,12027,13855,14111,12913,15006,15565,15806
2295,1718,1451,2838,3154,3465,1852,4092,2697,4892,4540,4192,4714,4627,4859,5060,5602,5978,5865,6063,5987,6387,6428,7050,10159,10328,10601,10795,9463,12418,12244,12469,12793,13546,11977,13664,14029,12811,14911,15266,15560
2310,1920,1509,2971,3146,3429,1969,4285,4479,4654,4455,4140,4432,4474,5248,5110,5563,5604,5705,5945,6490,6344,6915,7124,9108,9822,10205,10893,9365,12069,11955,13085,12749,13302,11964,13812,13767,12339,14731,14996,15009
2144,1843,1396,2807,3267,3436,1855,4141,3500,5138,4612,4365,4630,4833,5168,5096,5739,5227,6050,6476,6167,6760,6564,7175,9810,10114,10142,10478,8758,12105,11056,12617,12844,12664,11616,13216,13284,11838,14074,14213,14506
2100,1567,1536,2629,2800,2971,1814,4078,3026,4621,4748,4427,4396,4749,5027,5189,5835,5464,5743,6030,6260,6347,6421,6680,9652,10062,10321,10447,8761,11417,11109,12257,12226,12394,11659,13036,13385,11701,13804,13886,14747
2323,2358,1646,2608,2688,3685,2246,4481,4048,4911,4784,4198,4281,4580,5084,5420,5714,5627,5636,5869,6482,6409,6817,6913,9387,9726,10639,10673,8816,11426,11877,12668,12173,13395,12221,14006,13903,11736,14675,14354,14391
2263,2188,1416,2168,3360,3543,1789,4267,3204,4702,4840,4570,4556,4745,5196,5030,5809,5547,5656,6118,6321,7356,6669,7024,9481,10211,9799,11584,9305,11907,12388,13262,12561,13316,12605,14233,14158,12604,14446,14872,15192
2261,1636,1324,3095,3229,3100,1603,4375,2833,4974,4761,4150,4669,4764,4908,4955,5753,5124,5870,6253,6205,6934,6534,7182,9976,10469,10372,10580,8448,12249,11282,11909,13137,12155,11319,12976,13191,10777,13323,13883,13335
2268,2143,1624,2841,2638,3380,2048,4233,2251,4794,5072,4290,4357,4867,4839,5050,5794,5499,5651,6335,6310,6625,6784,6628,9325,9571,9926,10743,8615,11194,11909,12367,11826,12907,12044,13646,13715,11659,14060,14325,14693
2202,1546,1466,2342,3303,2993,1572,4143,3296,4547,4649,4457,4606,4914,4958,5228,5637,5462,5639,5831,6412,6375,6836,7025,9311,10207,10495,10436,13789,11432,11185,11480,12278,12205,11095,12891,12887,10980,13877,13753,14316
2090,2071,1749,2914,2685,3666,1785,4130,3220,4566,4842,4475,4335,4715,4679,4850,5512,5023,5735,6004,6106,6486,6438,6887,9351,9676,9771,11104,9146,10990,12361,13275,11948,13082,11958,14047,13914,11468,14188,14352,29507
2392,1964,1483,2377,3492,3188,1719,4152,2381,4769,4525,4514,4531,4681,4639,4685,5534,5668,5597,6078,6278,6460,6660,6654,9659,9960,9872,10373,9004,12077,10978,11852,13198,12260,11866,12455,13147,11513,13658,14062,21488
2248,1726,1613,3154,2941,3122,1785,4287,4593,4156,4700,4319,4028,4632,5301,5360,5341,5220,5500,5842,6558,6573,6846,6879,9131,9506,9926,10649,8858,10878,11173,12109,16558,12206,11632,12881,13472,11998,13601,14308,14689
2284,1937,1875,2543,2949,3597,2223,4332,4208,4989,4631,4181,4474,4942,4779,5252,6002,5470,5622,6256,6385,6468,6522,7008,9174,9405,9813,10190,9017,10852,11852,12825,11797,12731,11532,13634,13243,11776,14291,14091,14401
2222,1500,1197,2464,3314,3094,1757,3743,2819,4366,4080,4402,4315,4662,4435,4705,5636,5069,5859,6166,6132,6722,6191,6647,9542,9796,10069,9951,8540,11561,10891,11789,12646,12080,11681,12797,13407,11776,13699,14058,13960
2194,1450,1310,2803,2807,3160,1665,4215,3100,3853,4408,4056,4435,4357,4703,4777,5254,5365,5836,5835,6394,6168,6401,5854,8700,9204,9855,10374,9065,10986,10671,11437,11791,11569,11050,12424,12806,10991,13210,13188,13828
2153,2267,1976,2429,3094,3749,2433,4119,2196,4546,4484,4382,4455,4680,5072,4904,5394,5121,5461,6123,6003,6706,6246,6441,8984,9736,9752,10552,8521,10540,11290,11752,10954,12064,10696,12302,12170,11191,12933,12796,12517
2139,2067,1801,2817,3323,3452,1890,3655,3257,4455,4363,4128,4294,4641,5039,4678,5847,5120,5552,5944,5997,6508,6454,6100,9540,10015,9661,10307,8550,10930,10254,11704,11508,11652,11728,11992,12506,10954,13151,12647,13454
