5120,5376,5632,5888,6144,6400,6656,6912,7168,7424,7680,7936,8192,8448,8704,8960,9216,9472,9728,9984,10240,10496,10752,11008,11264,11520,11776,12032,12288,12544,12800,13056,13312,13568,13824,14080,14336,14592,14848,15104,15360,15616,15872,16128,16384,16640,16896,17152,17408,17664,17920,18176,18432,18688,18944,19200,19456,19712,19968,20224,20480,20736,20992,21248,21504,21760,22016,22272,22528,22784,23040,23296,23552,23808,24064,24320,24576,24832,25088,25344,25600,25856,26112,26368,26624,26880,27136,27392,27648,27904,28160,28416,28672,28928,29184,29440,29696,29952,30208,30464,30720,30976,31232,31488,31744,32000,32256,32512,32768,33024,33280,33536,33792,34048,34304,34560,34816,35072,35328,35584,35840,36096,36352,36608,36864,37120,37376,37632,37888,38144,38400
216,112,202,116,220,236,211,211,179,263,155,257,210,208,207,260,108,197,240,180,213,225,189,165,218,191,203,209,200,237,196,205,115,226,212,113,222,195,209,243,204,174,198,215,213,407,357,252,208,120,178,216,236,242,110,248,251,242,264,214,209,221,203,227,112,142,147,202,198,237,249,243,212,151,202,193,244,210,231,213,229,206,218,208,205,225,190,212,223,206,220,122,226,230,122,131,221,256,195,207,118,248,264,209,233,445,116,173,210,111,221,190,116,127,196,122,213,217,249,206,179,230,218,215,145,216,230,211,400,147,301
25,26,29,19,20,19,33,27,29,26,30,32,20,31,25,24,25,19,19,33,19,28,18,30,19,31,24,19,24,23,29,25,24,38,22,22,25,31,43,40,23,27,31,27,24,22,44,27,27,27,28,22,27,27,94,22,24,26,29,31,33,26,26,27,31,26,22,27,21,76,39,26,26,28,83,108,25,21,96,22,29,50,31,21,99,29,30,20,30,30,27,27,25,27,26,22,22,21,21,24,21,20,25,24,27,27,27,22,27,26,22,26,29,26,27,21,25,29,21,22,21,28,31,21,29,30,27,27,22,29,25
24,28,20,25,25,19,24,19,18,26,33,32,25,24,19,25,19,24,23,23,25,20,24,19,19,19,25,24,19,23,29,25,20,34,26,27,26,27,21,30,21,20,29,96,24,27,37,27,27,26,27,27,27,22,107,23,27,25,71,123,20,25,21,25,22,27,29,28,27,85,40,27,22,29,29,21,27,20,29,26,22,28,26,20,115,30,29,22,28,27,27,22,21,27,21,20,25,26,26,24,25,20,25,28,27,28,27,27,21,21,22,22,44,26,20,22,27,25,25,27,27,20,23,27,24,26,22,26,22,27,30
24,24,19,25,19,24,23,25,23,26,43,32,25,25,24,19,23,20,24,19,19,25,20,23,19,24,18,19,19,24,24,23,25,35,26,26,20,27,21,25,23,20,27,29,27,18,46,21,27,27,21,27,27,22,102,27,26,27,60,70,22,26,20,26,22,20,21,26,22,105,32,26,27,23,26,22,27,20,300,27,27,30,29,26,81,27,27,26,27,22,27,28,26,26,26,26,20,26,26,26,26,27,26,24,22,31,25,27,27,26,22,22,27,20,27,26,22,25,22,27,27,21,28,21,30,27,27,22,20,22,26
25,24,23,18,20,18,24,19,19,26,29,32,23,24,20,18,23,19,24,19,24,19,20,24,19,24,24,24,25,20,23,19,25,27,27,27,22,27,22,29,22,26,20,26,27,25,38,21,26,26,27,20,26,27,86,27,26,25,50,96,23,25,26,27,28,20,21,27,27,124,31,27,21,28,22,26,22,26,21,27,22,22,30,26,26,22,27,27,27,22,21,21,26,27,27,27,20,25,21,20,26,27,22,26,22,33,27,27,22,25,22,27,26,21,27,28,25,25,27,26,21,21,28,22,30,26,22,20,22,20,30
19,19,23,25,19,25,24,19,24,24,26,32,23,18,19,24,23,20,18,24,25,25,24,24,24,19,18,19,18,19,23,20,24,26,21,26,27,21,26,31,22,22,21,25,22,22,39,27,27,27,27,22,21,22,55,21,26,30,20,25,22,25,22,30,27,27,20,21,28,114,37,22,27,27,21,73,22,27,26,27,27,27,26,21,22,20,30,21,22,26,27,27,21,27,22,20,21,22,27,22,26,27,27,26,20,28,21,21,27,27,21,27,20,20,27,21,22,31,27,22,20,27,25,27,23,27,27,27,27,26,26
24,19,25,24,24,20,23,19,25,25,24,34,18,24,18,20,25,25,23,23,25,25,25,20,25,24,25,23,19,23,23,24,24,25,26,27,21,26,27,26,21,20,22,24,27,22,31,27,19,26,21,27,26,26,32,22,21,25,22,26,27,31,26,27,21,27,21,20,27,102,31,27,25,20,27,22,27,27,20,22,21,20,25,27,22,27,28,21,22,26,27,22,26,26,22,27,27,20,23,27,27,25,27,27,21,31,26,22,25,22,27,21,27,27,25,22,22,30,20,26,26,23,29,22,30,22,25,21,28,27,27
24,25,24,24,25,18,23,25,25,26,36,34,19,19,23,25,24,20,24,23,24,24,23,19,27,19,19,19,24,20,18,24,18,23,25,26,27,28,27,25,30,25,21,25,27,21,31,25,22,27,26,22,22,26,106,22,26,25,91,20,27,25,22,22,21,27,27,26,22,98,36,20,27,27,27,25,21,27,25,21,21,26,24,21,21,22,27,26,21,23,26,26,27,21,22,22,22,26,27,27,21,27,27,20,22,32,25,21,27,25,21,27,26,27,22,26,27,25,21,21,25,27,20,26,29,27,21,25,22,27,21
20,24,20,24,26,24,24,20,18,25,30,36,23,23,19,20,20,20,24,24,23,24,26,25,19,25,26,23,18,26,20,18,24,22,27,26,27,20,20,26,27,27,21,26,27,22,40,27,21,26,26,22,20,21,120,21,21,25,25,22,27,30,21,27,20,26,27,27,22,63,36,26,22,26,22,21,22,25,27,22,22,22,25,26,27,20,29,28,29,21,26,20,27,26,27,27,23,21,26,25,26,27,25,25,26,29,26,25,21,27,27,20,25,27,27,27,27,26,27,21,27,22,21,26,27,27,20,20,26,25,26
