5120,5376,5632,5888,6144,6400,6656,6912,7168,7424,7680,7936,8192,8448,8704,8960,9216,9472,9728,9984,10240,10496,10752,11008,11264,11520,11776,12032,12288,12544,12800,13056,13312,13568,13824,14080,14336,14592,14848,15104,15360,15616,15872,16128,16384,16640,16896,17152,17408,17664,17920,18176,18432,18688,18944,19200,19456,19712,19968,20224,20480,20736,20992,21248,21504,21760,22016,22272,22528,22784,23040,23296,23552,23808,24064,24320,24576,24832,25088,25344,25600,25856,26112,26368,26624,26880,27136,27392,27648,27904,28160,28416,28672,28928,29184,29440,29696,29952,30208,30464,30720,30976,31232,31488,31744,32000,32256,32512,32768,33024,33280,33536,33792,34048,34304,34560,34816,35072,35328,35584,35840,36096,36352,36608,36864,37120,37376,37632,37888,38144,38400
118,136,118,97,99,146,111,112,112,145,55,92,147,110,172,138,139,144,114,94,148,126,132,120,123,120,122,141,90,112,99,78,90,118,136,157,147,49,99,138,114,106,153,161,90,134,124,110,114,121,149,208,137,92,99,105,153,184,170,116,183,111,128,101,122,175,99,90,258,161,135,88,106,148,115,169,109,183,135,174,107,120,156,136,118,176,135,133,136,93,136,133,163,146,743,134,290,123,136,137,106,125,40,236,126,132,142,159,51,161,107,199,125,95,222,127,129,116,114,157,136,121,123,150,119,130,102,251,143,137,145
28,26,29,27,21,38,22,27,21,22,22,27,27,27,26,27,27,23,26,24,27,24,21,26,26,30,29,33,25,24,33,23,27,21,30,43,23,30,23,32,24,28,40,24,26,29,29,79,21,29,38,60,44,27,23,30,29,32,38,28,25,24,30,24,87,62,28,75,32,33,28,58,24,30,25,59,30,29,36,34,28,34,24,29,22,33,30,28,29,33,23,99,29,29,39,36,127,29,33,31,30,34,40,28,29,29,24,27,24,30,28,93,40,23,65,23,30,33,33,26,29,28,75,29,28,75,27,77,29,33,34
22,29,30,21,22,39,30,28,27,30,28,29,29,30,26,30,29,24,23,30,23,23,23,24,27,25,22,30,28,23,28,24,28,22,28,29,29,28,30,31,24,29,32,22,28,34,29,51,22,31,36,28,28,30,30,22,35,27,23,32,30,30,29,28,79,52,28,134,77,32,29,29,28,54,28,63,23,71,30,29,28,91,23,33,29,34,29,33,34,40,29,34,24,39,27,119,97,29,32,28,54,24,29,23,23,35,24,33,29,24,38,289,29,23,104,29,34,38,33,33,28,48,38,30,89,66,33,144,34,38,36
27,27,30,27,20,32,27,31,22,26,26,27,21,27,22,22,27,28,27,28,25,32,21,27,22,28,27,29,23,28,32,27,24,26,26,33,26,30,30,27,29,28,33,29,24,30,30,107,29,28,22,43,28,33,24,29,24,27,28,33,24,23,28,27,24,47,23,29,32,28,23,29,24,84,28,29,28,32,24,24,24,23,29,28,28,23,23,27,24,32,23,43,29,71,28,29,24,76,29,24,28,28,35,34,29,34,24,34,30,29,34,36,23,23,108,28,30,33,29,32,25,28,27,29,40,96,33,33,28,39,28
30,30,29,26,26,37,26,28,26,27,26,22,20,27,21,22,21,28,26,27,25,28,27,22,28,24,24,28,28,23,27,28,30,21,28,28,23,44,29,31,24,29,28,28,29,26,29,86,33,31,28,33,35,38,28,30,33,32,58,29,34,28,29,27,29,38,23,28,30,32,28,24,28,23,40,40,28,33,35,35,28,73,23,32,30,29,28,37,23,27,29,44,23,42,30,59,34,23,38,360,34,30,34,35,53,34,23,38,34,34,75,43,23,34,87,30,23,39,39,37,34,34,33,36,36,96,39,48,23,33,35
26,22,28,27,25,38,27,28,27,27,22,20,25,21,21,21,21,26,26,21,25,29,22,21,27,30,30,29,28,30,29,24,27,27,28,31,24,42,23,28,21,22,28,28,23,28,28,55,28,33,28,32,29,24,30,20,30,32,27,32,28,28,22,33,63,49,28,28,32,32,29,28,23,57,24,23,23,27,28,29,22,42,28,33,28,28,28,33,29,29,101,39,28,88,29,29,30,36,28,40,28,29,28,29,29,28,28,33,25,57,54,321,34,33,132,34,29,38,39,38,30,34,52,34,40,131,38,52,36,36,29
25,27,28,21,27,40,26,22,27,27,26,26,27,26,22,25,27,23,21,26,27,29,21,22,22,29,24,24,24,29,31,28,29,25,30,24,28,170,29,31,30,30,27,34,24,29,27,29,33,32,29,33,30,32,29,28,34,32,35,33,30,23,34,31,29,42,29,28,32,38,28,28,28,28,28,22,28,33,35,24,29,103,34,32,29,29,28,37,28,31,25,70,29,90,28,101,23,82,27,60,28,85,29,35,30,34,29,33,23,54,30,44,34,33,86,34,54,38,35,39,35,34,33,36,50,101,38,69,29,38,28
27,26,29,22,21,37,20,23,26,21,22,27,27,22,21,22,22,29,27,27,25,30,21,25,27,23,28,29,29,29,27,23,28,26,28,30,29,23,29,32,28,29,29,29,24,29,30,35,31,33,29,33,24,27,28,29,29,47,29,32,29,30,24,31,28,39,24,29,29,32,28,29,29,29,28,28,23,31,28,28,29,24,30,32,29,29,28,29,28,33,23,50,59,76,28,28,29,31,28,23,29,34,83,34,24,29,24,26,29,52,31,37,34,33,29,34,28,32,53,29,29,34,27,46,35,33,38,54,34,40,30
24,27,23,24,27,28,26,29,29,22,27,22,20,27,21,20,22,28,26,20,27,28,51,27,25,29,28,28,29,24,29,30,23,22,28,29,29,51,24,32,28,30,23,22,24,29,33,47,24,27,28,27,22,28,23,30,29,28,28,33,29,28,29,32,49,29,28,30,33,29,29,24,23,23,32,74,29,33,24,34,28,29,35,32,29,35,28,38,29,39,34,45,34,38,28,39,29,34,38,34,29,29,73,34,52,34,35,37,35,34,28,42,35,35,34,36,34,38,45,38,36,36,37,56,35,37,98,71,34,40,34
26,26,30,27,21,41,27,29,26,26,27,26,21,27,26,27,26,28,26,20,21,24,27,20,21,24,24,29,22,29,28,23,24,22,23,30,30,30,29,29,20,29,29,28,28,23,24,28,28,28,28,29,23,33,28,23,29,38,24,27,34,29,24,37,29,33,29,33,33,25,24,29,23,77,31,23,30,37,28,29,24,29,28,32,30,30,28,38,24,33,28,29,23,53,29,23,29,29,32,28,23,34,73,34,78,40,24,35,28,29,50,34,29,34,33,35,29,31,43,28,34,29,29,29,34,35,32,45,29,32,34
30,25,23,22,26,37,27,22,22,21,27,27,26,22,22,21,26,28,27,27,21,29,21,27,27,30,23,28,28,29,28,23,30,26,23,37,24,24,29,38,24,33,23,35,34,28,29,29,30,40,28,29,26,27,23,28,24,27,28,28,29,23,28,33,67,43,23,28,33,33,29,29,29,34,34,34,35,33,34,30,28,28,35,27,28,34,24,41,35,27,29,29,29,39,24,34,28,29,32,333,34,36,47,28,34,34,28,40,35,35,51,32,61,34,98,35,23,91,28,27,29,29,29,30,32,30,29,39,23,37,92
26,22,28,20,27,37,22,24,21,27,27,25,25,27,21,28,22,23,27,27,21,24,21,27,27,30,29,23,24,30,28,24,29,27,23,33,24,28,23,31,28,21,27,29,28,33,28,28,24,33,51,28,30,33,28,30,29,32,28,27,28,28,30,36,38,35,47,28,27,28,24,30,29,30,29,30,28,28,38,26,23,28,29,33,24,28,28,38,35,28,29,22,28,53,35,23,23,36,33,33,29,24,35,28,24,24,24,31,29,29,49,41,34,34,38,35,35,38,39,38,58,36,39,35,41,66,34,46,34,37,34
