256,512,768,1024,1280,1536,1792,2048,2304,2560,2816,3072,3328,3584,3840,4096,4352,4608,4864,5120,5376,5632,5888,6144,6400,6656,6912,7168,7424,7680,7936,8192,8448,8704,8960,9216,9472,9728,9984,10240,10496,10752,11008,11264,11520,11776,12032,12288,12544,12800,13056,13312,13568,13824,14080,14336,14592,14848,15104,15360,15616,15872,16128,16384,16640,16896,17152,17408,17664,17920,18176,18432,18688,18944,19200,19456,19712,19968,20224,20480,20736,20992,21248,21504,21760,22016,22272,22528,22784,23040,23296,23552,23808,24064,24320,24576,24832,25088,25344,25600
531,760,1197,1359,2504,2156,2253,2289,3669,2914,2986,8535,3504,5487,5793,15396,4180,8504,8124,7551,7773,8770,8521,10841,9505,7175,11500,10427,9079,11601,14030,25814,13091,13627,14415,9997,13824,14633,15218,15044,14340,16401,16536,16774,37124,18623,16967,52098,39955,17523,40464,13953,41708,41983,44008,49800,202902,15601,51937,48614,49532,49615,51419,50526,52438,53965,16781,16179,16274,16372,68652,59940,65153,59168,25730,67023,19895,74912,70302,75218,66248,65163,75980,28950,67574,69584,69978,86750,78550,70648,82766,25035,84338,21685,74971,110806,101202,173406,81192,103180
356,588,876,1021,1372,1404,1780,2023,2351,2403,2632,6929,3300,3253,3702,3919,3592,8105,4657,4795,4700,5050,4939,5684,5949,5413,6994,5477,6596,6131,7312,7588,7130,6892,10907,7379,9102,10055,8400,8846,7946,9204,9475,8881,10685,10158,9319,13163,10355,10024,13294,9913,12760,14272,16026,12971,54134,12552,14879,16835,18353,16531,17881,19006,18467,19145,14720,13100,13461,13722,21562,21108,19954,21692,16947,19953,16878,28629,22762,30528,20768,24980,21790,18819,22947,17809,18635,19228,25446,18668,26277,21601,32615,20317,20980,25904,32835,93568,22332,32237
262,516,823,1274,1587,1860,1853,2149,2495,2381,2529,7164,3050,3232,3399,3156,3380,7440,4364,4050,3986,4534,4473,5588,5555,5164,6161,5432,5869,6067,6932,6517,6989,6997,10156,7121,7781,8380,8132,18704,7888,8553,8680,8576,8529,9787,8688,10394,8372,8943,9806,9684,9977,10846,11588,10469,49025,11904,11748,13008,13580,12161,12961,13900,14394,13335,12665,12310,12725,13143,16138,15547,15944,15059,16208,16750,16437,26177,17225,23563,16290,18904,19498,18566,17788,18314,19010,18631,20142,19147,22397,21189,24832,20686,21653,28185,30461,80815,21987,31430
231,395,715,1077,1204,1479,1735,1907,2215,2310,2128,7505,2676,2640,3184,3116,3201,6176,3978,3625,3794,4720,4423,4977,4958,4867,5967,5348,6146,5966,7219,6319,7196,6969,9768,6990,7183,8011,7809,8087,7550,8674,8697,8298,8083,9082,8568,9983,8750,9589,9551,9008,9443,10769,11290,10120,46302,12381,11766,12873,12619,12314,12855,12352,12968,13040,13081,12161,12429,13333,15653,13923,14802,14359,15936,15487,16728,25833,16810,19268,15069,17655,18336,19442,17378,18296,18741,18939,19911,18742,20929,21179,31713,20910,21978,28254,26790,87211,22139,28239
276,561,839,1266,1251,1873,1553,2011,2301,2339,2244,6500,2408,2506,3087,3092,2795,6654,3681,3731,3888,4553,4245,5185,4912,4757,5798,5379,5710,5983,6807,6330,6202,6830,9602,7044,7058,7758,7836,8207,7364,8414,9035,8434,8297,9128,9422,9454,8749,9626,9659,9060,9428,10244,10865,9805,41356,12427,11057,12223,12271,12585,13012,12566,13029,12200,13206,12843,13762,12731,14956,13753,15027,14212,15216,15982,16526,20729,16808,26703,15818,17373,18516,19282,17438,18443,18918,19459,19447,19497,20494,21708,19935,20341,21659,26941,25032,35360,22820,25400
229,482,806,964,1285,1401,1728,1749,1825,1880,1960,6111,2604,2690,2970,2966,2888,5741,3654,3848,3894,4425,4561,5099,5263,4897,6433,4990,5415,5901,6876,6175,6511,7048,8728,6853,7521,7699,17930,7884,7683,8381,8707,8660,7952,8298,8749,9148,8208,9631,8801,9110,8874,10440,11238,9761,52398,12309,11695,12203,13293,12627,12620,13106,12775,12392,13560,12624,12671,12591,15237,14223,15144,14374,15474,17890,16434,20649,17380,16936,15863,17001,18815,19306,17360,18210,18755,19413,19772,18764,20256,22032,18933,20489,21953,38401,25251,26034,22133,25906
224,387,723,933,1433,1459,1855,1902,1721,1941,2222,6913,2408,2642,2844,3172,3102,6575,3681,3714,3786,4450,4192,5383,4784,4753,5481,5176,5782,5754,7202,6365,6451,7145,9784,7509,7024,7568,8139,8242,7625,8089,8131,8371,8328,8909,8518,9554,8419,9244,9235,8762,9708,10273,11304,10532,51868,11949,11719,12824,12465,11939,12430,13712,12354,12265,13479,12843,12639,13059,15133,14388,14756,14403,14701,19880,16032,22889,16623,16522,15998,16402,17668,19215,17157,17864,19163,18867,19868,19629,21151,22860,19797,20570,21932,30399,25609,21539,22636,27450
238,531,769,1084,1172,1481,1427,1878,1874,1922,1987,6210,2521,2605,2932,3009,2784,5989,3275,3811,3876,4334,4182,4529,4439,4750,6123,5020,5580,6132,7286,6079,7193,7117,9298,7008,6947,8002,7239,7796,7273,8241,8384,8246,8234,8635,8857,9645,8922,8840,9013,8697,8888,10596,11044,10437,42037,11908,11289,12017,12071,12395,11870,12182,12323,12212,13082,12661,13211,13367,15107,13425,15173,14305,14766,20780,16499,22389,17087,16850,15376,16780,17584,19494,16959,17790,18560,19311,20187,19161,20931,21616,19192,19765,21708,27503,24807,20396,21910,24964
321,519,703,979,1558,1247,1374,1364,1738,2021,2010,8083,2595,2511,2730,3125,3246,7049,3530,3834,3469,4287,4179,4590,5071,4983,5475,5514,6193,6156,7177,6389,6610,7099,8965,7217,7070,9060,7283,7690,7320,8518,8074,7985,8180,8914,8313,9688,8673,9054,9388,8695,9240,10326,11726,10010,41862,11949,15014,11968,12495,11927,11992,11869,12071,12229,13297,12711,12079,12965,14420,13578,14764,13652,14475,18732,16587,20440,16398,16468,15340,16794,18394,19004,17734,18372,18959,18780,19543,19717,20726,22734,19485,20754,22496,30761,24937,20147,21771,23907
